"Page / section";"Cle";"Francais";"Etat";"Ne pas traduire";"WOLOF (a remplir)"
"Accueil — application mobile";"appksn.badge";"Application Mobile KSN";"ABSENT";"";""
"Accueil — application mobile";"appksn.desc";"Accédez au comptage des Salaatou, aux activités du Dahira, aux contenus spirituels et à toute la communauté KSN directement depuis votre téléphone.";"ABSENT";"";""
"Accueil — application mobile";"appksn.download_apple";"Télécharger sur";"ABSENT";"";""
"Accueil — application mobile";"appksn.download_google";"Disponible sur";"ABSENT";"";""
"Accueil — application mobile";"appksn.f1";"Salaatou & suivi quotidien";"ABSENT";"";""
"Accueil — application mobile";"appksn.f2";"Communauté KSN";"ABSENT";"";""
"Accueil — application mobile";"appksn.f3";"Contenus spirituels & rappels";"ABSENT";"";""
"Accueil — application mobile";"appksn.f4";"Suivi des activités du Dahira";"ABSENT";"";""
"Accueil — application mobile";"appksn.title";"Emportez KSN Partout Avec Vous 📱";"ABSENT";"";""
"Accueil — chiffres";"stats.social";"Réseaux Sociaux";"FRANCAIS TEL QUEL";"";""
"Accueil — compteur Salaatu";"compteur.badge";"Challenge 1 Milliard";"ABSENT";"";""
"Accueil — compteur Salaatu";"compteur.cta";"Voir le Challenge complet";"ABSENT";"";""
"Accueil — compteur Salaatu";"compteur.hadith";"« Allah prie 10 fois sur celui qui prie une fois sur le Prophète ﷺ »";"ABSENT";"";""
"Accueil — compteur Salaatu";"compteur.perso_btn";"+ 1 Salaatu";"ABSENT";"";""
"Accueil — compteur Salaatu";"compteur.perso_desc";"Salaatu compté(s) aujourd'hui";"ABSENT";"";""
"Accueil — compteur Salaatu";"compteur.perso_title";"Mon Compteur du Jour";"ABSENT";"";""
"Accueil — compteur Salaatu";"compteur.reset";"Réinitialiser";"ABSENT";"";""
"Accueil — compteur Salaatu";"compteur.reset_confirm";"Réinitialiser votre compteur du jour ?";"ABSENT";"";""
"Accueil — compteur Salaatu";"compteur.target";"sur {target} — Challenge du milliard";"ABSENT";"{target}";""
"Accueil — compteur Salaatu";"compteur.title";"Salaatu offerts par la communauté KSN";"ABSENT";"";""
"Barre de navigation";"nav.blog";"Blog";"FRANCAIS TEL QUEL";"";""
"Barre de navigation";"nav.boutique";"Boutique";"FRANCAIS TEL QUEL";"";""
"Bibliotheque des Salaats";"library.benefits";"Bienfaits";"ABSENT";"";""
"Bibliotheque des Salaats";"library.connected_as";"Connecté en tant que";"ABSENT";"";""
"Bibliotheque des Salaats";"library.daily_title";"Salaatu du jour —";"ABSENT";"";""
"Bibliotheque des Salaats";"library.desc";"Salaats avec arabe, translittération, traduction, bienfaits et secrets d'utilisation. Le Salaatu du jour reste en accès libre — la bibliothèque complète s'ouvre à vie avec un paiement unique de 1 000 FCFA.";"ABSENT";"";""
"Bibliotheque des Salaats";"library.free_access";"Accès libre";"ABSENT";"";""
"Bibliotheque des Salaats";"library.locked_badge";"Aperçu · {freeCount} Salaats sur {totalCount} accessibles";"ABSENT";"{freeCount} {totalCount}";""
"Bibliotheque des Salaats";"library.no_results";"Aucun Salaat ne correspond à ces critères.";"ABSENT";"";""
"Bibliotheque des Salaats";"library.official_member";"Membre KSN";"ABSENT";"";""
"Bibliotheque des Salaats";"library.pronunciation";"Prononciation";"ABSENT";"";""
"Bibliotheque des Salaats";"library.reserved";"Réservé Membres";"ABSENT";"";""
"Bibliotheque des Salaats";"library.sacred_overline";"Bibliothèque Sacrée";"ABSENT";"";""
"Bibliotheque des Salaats";"library.search_placeholder";"Rechercher...";"ABSENT";"";""
"Bibliotheque des Salaats";"library.title";"Bibliothèque des Salaats";"ABSENT";"";""
"Bibliotheque des Salaats";"library.translation";"Traduction";"ABSENT";"";""
"Bibliotheque des Salaats";"library.unlock_btn";"Débloquer pour 1 000 FCFA →";"ABSENT";"";""
"Bibliotheque des Salaats";"library.unlock_desc";"Salaats supplémentaires avec leurs translittérations, traductions et secrets — accès permanent à vie pour 1 000 FCFA.";"ABSENT";"";""
"Bibliotheque des Salaats";"library.unlock_note";"Paiement unique via Wave · validation sous 24h ouvrées";"ABSENT";"";""
"Bibliotheque des Salaats";"library.unlock_title";"Ouvrir la bibliothèque sacrée";"ABSENT";"";""
"Bibliotheque des Salaats";"library.unlocked_badge";"Accès premium débloqué";"ABSENT";"";""
"Bibliotheque des Salaats";"library.usage";"Secrets & Pratique";"ABSENT";"";""
"Challenge — contribution";"contrib.again";"Ajouter encore";"ABSENT";"";""
"Challenge — contribution";"contrib.amount_label";"Nombre de Salaatu";"ABSENT";"";""
"Challenge — contribution";"contrib.desc";"Entrez le nombre de Salaatu que vous avez récités : il s'ajoute en direct au total de la communauté.";"ABSENT";"";""
"Challenge — contribution";"contrib.err_amount";"Entrez un nombre valide.";"ABSENT";"";""
