"Page / section";"Cle";"Francais";"Wolof actuel";"WOLOF corrige (si besoin)"
"Accueil — bandeau";"banner.challenge_btn";"Participer";"Bokk";""
"Accueil — bandeau";"banner.challenge_text";"Participez au Challenge 1 Milliard de Salaatu : enregistrez vos prières quotidiennes !";"Bokk lëna ci Challenge 1 Milyaar: bindël say Selal tey !";""
"Accueil — banniere";"hero.badge";"Kippangog Salaatu 'Alaa Nabii";"Kippaangog Salaatu 'Alaa Nabii";""
"Accueil — banniere";"hero.card_commissions";"Commissions Officielles";"Kër yi Officielles";""
"Accueil — banniere";"hero.card_commissions_desc";"Éducation, Communication, Finances, Sociale, Organisation et Relations Extérieures.";"Njàng, Joxe-Xibaar, Alal, Mbokk, Yax ak Yokkute ci Bitti.";""
"Accueil — banniere";"hero.card_membre";"Vie du Membre";"Dund Mbokk mi";""
"Accueil — banniere";"hero.card_membre_desc";"Adhésion, participation spirituelle et engagement communautaire.";"Bokk, ñaaani, ak ndimbal mbokk mi.";""
"Accueil — banniere";"hero.card_overline";"Vie Institutionnelle KSN";"Yoonu Dahira KSN";""
"Accueil — banniere";"hero.card_reglement";"Règlement Intérieur";"Yoon yi";""
"Accueil — banniere";"hero.card_reglement_desc";"Statuts, discipline et fonctionnement du Dahira.";"Tëralin, jëfandikoo ak liggéey Dahira ji.";""
"Accueil — banniere";"hero.card_title";"Organisation & Fonctionnement";"Yax & Liggéey";""
"Accueil — banniere";"hero.subtitle";"Créé le 02 Janvier 2021 à Touba, KSN œuvre pour la promotion de la Prière sur le Prophète Muhammad ﷺ à travers une organisation structurée, des activités spirituelles et une communauté internationale engagée.";"KSN sosu woon na 02 Sanwiyee 2021 ci Touba, ngir tëralu Salaatu ci Yonent bi Muhammad ﷺ ak yax mbokk mu mag te jëm ci àdduna bi.";""
"Accueil — banniere";"hero.title_line1";"Une communauté";"Mbokk mi";""
"Accueil — banniere";"hero.title_line2";"spirituelle moderne";"tax na ci diiney";""
"Accueil — banniere";"hero.title_line3";"au service de la";"ngir Salaatu";""
"Accueil — banniere";"hero.title_line4";"Prière sur le Prophète Muhammad ﷺ";"ci Yonent bi Muhammad ﷺ";""
"Accueil — chiffres";"stats.app_users";"Utilisateurs App";"Jëfandikookat Applikaasion";""
"Accueil — chiffres";"stats.creation";"Création KSN";"KSN sos";""
"Accueil — chiffres";"stats.international";"Rayonnement International";"Leeral ci Àdduna bi";""
"Accueil — chiffres";"stats.members";"Membres Engagés";"Mbokki Jëfandikoo";""
"Accueil — chiffres";"stats.overline";"Rayonnement KSN";"Leeralu KSN";""
"Accueil — chiffres";"stats.title";"Une Communauté Spirituelle Internationale";"Mbokk mu Diiney mu Mag";""
"Barre de navigation";"nav.actualites";"Actualités";"Xibaar yi";""
"Barre de navigation";"nav.contact";"Contact";"Jokk";""
"Barre de navigation";"nav.dahira";"Le Dahira";"Dahira ji";""
"Barre de navigation";"nav.home";"Accueil";"Daay";""
"Barre de navigation";"nav.media";"Média";"Media";""
"Barre de navigation";"nav.spiritualite";"Spiritualité";"Diiney";""
"Barre de navigation";"nav.vie_spirituelle";"Vie spirituelle";"Diine ji";""
