"Cle","Francais","Wolof","English","Italiano","Espanol","Arabe"
"nav.home","Accueil","Daay","Home","Home","Inicio","الرئيسية"
"nav.dahira","Le Dahira","Dahira ji","The Dahira","Il Dahira","El Dahira","الدائرة"
"nav.spiritualite","Spiritualité","Diiney","Spirituality","Spiritualità","Espiritualidad","الروحانية"
"nav.media","Média","Media","Media","Media","Medios","الإعلام"
"nav.boutique","Boutique","Boutique","Boutique","Boutique","Boutique","المتجر"
"nav.blog","Blog","Blog","Blog","Blog","Blog","المدونة"
"nav.contact","Contact","Jokk","Contact","Contatti","Contacto","اتصل بنا"
"cta.donate","Faire un Don","Defal Yónne","Make a Donation","Fai una Donazione","Hacer una Donación","تبرّع"
"cta.join","Rejoindre le Dahira","Bokk ci Dahira ji","Join the Dahira","Unisciti al Dahira","Únete al Dahira","انضم إلى الدائرة"
"cta.discover","Découvrir KSN","Xam KSN","Discover KSN","Scopri KSN","Descubre KSN","اكتشف KSN"
"cta.member","Devenir Membre","Nekk ci Mbokk","Become a Member","Diventa Membro","Hazte Miembro","أصبح عضواً"
"cta.read_more","Lire l'article","Jëfandikoo bind bi","Read the article","Leggi l'articolo","Leer el artículo","اقرأ المقال"
"cta.send_whatsapp","Envoyer via WhatsApp","Yónne ci WhatsApp","Send via WhatsApp","Invia via WhatsApp","Enviar por WhatsApp","أرسل عبر واتساب"
"cta.contact_whatsapp","Contacter sur WhatsApp","Jokk ci WhatsApp","Contact on WhatsApp","Contatta su WhatsApp","Contactar por WhatsApp","تواصل عبر واتساب"
"cta.follow_us","Suivez-nous","Toopal nu","Follow us","Seguici","Síguenos","تابعنا"
"site.tagline","Site Officiel International","Site Bi Maam ji","Official International Website","Sito Ufficiale Internazionale","Sitio Oficial Internacional","الموقع الرسمي الدولي"
"site.motto","Prière • Spiritualité • Rayonnement","Ñaan • Diiney • Leeral","Prayer • Spirituality • Outreach","Preghiera • Spiritualità • Irraggiamento","Oración • Espiritualidad • Difusión","صلاة • روحانية • إشعاع"
"site.location","Touba, Sénégal","Touba, Senegaal","Touba, Senegal","Touba, Senegal","Touba, Senegal","توبا، السنغال"
"hero.badge","Kippangog Salaatu 'Alaa Nabii","Kippaangog Salaatu 'Alaa Nabii","Kippangog Salaatu 'Alaa Nabii","Kippangog Salaatu 'Alaa Nabii","Kippangog Salaatu 'Alaa Nabii","كيبانغوغ صلاة على النبي"
"hero.title_line1","Une communauté","Mbokk mi","A modern","Una comunità","Una comunidad","مجتمع روحاني"
"hero.title_line2","spirituelle moderne","tax na ci diiney","spiritual community","spirituale moderna","espiritual moderna","حديث في خدمة"
"hero.title_line3","au service du","ngir Salaatu","at the service of","al servizio del","al servicio del","الصلاة على"
"hero.title_line4","Salaatu ﷺ","ci Yonent bi ﷺ","Salaatu ﷺ","Salaatu ﷺ","Salaatu ﷺ","النبي ﷺ"
"hero.subtitle","Créé le 02 Janvier 2021 à Touba, KSN œuvre pour la promotion de la Prière sur le Prophète Muhammad ﷺ à travers une organisation structurée, des activités spirituelles et une communauté internationale engagée.","KSN sosu woon na 02 Sanwiyee 2021 ci Touba, ngir tëralu Salaatu ci Yonent bi Muhammad ﷺ ak yax mbokk mu mag te jëm ci àdduna bi.","Founded on January 2, 2021 in Touba, KSN works to promote prayers upon the Prophet Muhammad ﷺ through a structured organization, spiritual activities, and an engaged international community.","Fondato il 2 gennaio 2021 a Touba, KSN promuove la preghiera sul Profeta Muhammad ﷺ attraverso un'organizzazione strutturata, attività spirituali e una comunità internazionale impegnata.","Fundada el 2 de enero de 2021 en Touba, KSN trabaja para promover el rezo sobre el Profeta Muhammad ﷺ a través de una organización estructurada, actividades espirituales y una comunidad internacional comprometida.","تأسست في 2 يناير 2021 بتوبا، تعمل KSN على تعزيز الصلاة على النبي محمد ﷺ من خلال تنظيم محكم، وأنشطة روحانية، ومجتمع دولي ملتزم."
"hero.card_overline","Vie Institutionnelle KSN","Yoonu Dahira KSN","KSN Institutional Life","Vita Istituzionale KSN","Vida Institucional KSN","الحياة المؤسسية KSN"
"hero.card_title","Organisation & Fonctionnement","Yax & Liggéey","Organization & Operations","Organizzazione & Funzionamento","Organización y Funcionamiento","التنظيم والعمل"
"hero.card_reglement","Règlement Intérieur","Yoon yi","Internal Regulations","Regolamento Interno","Reglamento Interno","النظام الداخلي"
"hero.card_reglement_desc","Statuts, discipline et fonctionnement du Dahira.","Tëralin, jëfandikoo ak liggéey Dahira ji.","Statutes, discipline, and operation of the Dahira.","Statuti, disciplina e funzionamento del Dahira.","Estatutos, disciplina y funcionamiento del Dahira.","النظام الأساسي، الانضباط وعمل الدائرة."
"hero.card_commissions","Commissions Officielles","Kër yi Officielles","Official Commissions","Commissioni Ufficiali","Comisiones Oficiales","اللجان الرسمية"
"hero.card_commissions_desc","Éducation, Communication, Finances, Sociale, Organisation et Relations Extérieures.","Njàng, Joxe-Xibaar, Alal, Mbokk, Yax ak Yokkute ci Bitti.","Education, Communication, Finance, Social, Organization, and External Relations.","Educazione, Comunicazione, Finanze, Sociale, Organizzazione e Relazioni Esterne.","Educación, Comunicación, Finanzas, Social, Organización y Relaciones Exteriores.","التعليم، الاتصال، المالية، الاجتماعية، التنظيم والعلاقات الخارجية."
"hero.card_membre","Vie du Membre","Dund Mbokk mi","Member Life","Vita del Membro","Vida del Miembro","حياة العضو"
"hero.card_membre_desc","Adhésion, participation spirituelle et engagement communautaire.","Bokk, ñaaani, ak ndimbal mbokk mi.","Membership, spiritual participation, and community engagement.","Adesione, partecipazione spirituale e impegno comunitario.","Membresía, participación espiritual y compromiso comunitario.","الانخراط، المشاركة الروحية والالتزام المجتمعي."
"stats.overline","Rayonnement KSN","Leeralu KSN","KSN Outreach","Irraggiamento KSN","Difusión KSN","إشعاع KSN"
"stats.title","Une Communauté Spirituelle Internationale","Mbokk mu Diiney mu Mag","An International Spiritual Community","Una Comunità Spirituale Internazionale","Una Comunidad Espiritual Internacional","مجتمع روحاني دولي"
"stats.creation","Création KSN","KSN sos","KSN Founded","Fondazione KSN","Creación KSN","تأسيس KSN"
"stats.social","Réseaux Sociaux","Réseaux Sociaux","Social Networks","Social Network","Redes Sociales","الشبكات الاجتماعية"
"stats.members","Membres Engagés","Mbokki Jëfandikoo","Engaged Members","Membri Attivi","Miembros Activos","أعضاء فعالون"
"stats.app_users","Utilisateurs App","Jëfandikookat Applikaasion","App Users","Utenti dell'App","Usuarios de la App","مستخدمو التطبيق"
"stats.international","Rayonnement International","Leeral ci Àdduna bi","International Outreach","Irraggiamento Internazionale","Difusión Internacional","إشعاع دولي"
"section.direction_spirituelle","Direction Spirituelle","Doxalin Diiney","Spiritual Direction","Direzione Spirituale","Dirección Espiritual","القيادة الروحية"
"section.presidence_title","Présidence du Dahira","Doxalin Dahira ji","Dahira Presidency","Presidenza del Dahira","Presidencia del Dahira","رئاسة الدائرة"
"section.presidence_desc","Une direction engagée au service du Salaatu, du développement spirituel et du rayonnement international de la KSN.","Doxalin gu jëm ci Salaatu, suqali diiney ak leeralu KSN ci àdduna bi.","Leadership dedicated to Salaatu, spiritual development, and KSN's international outreach.","Una direzione impegnata al servizio del Salaatu, dello sviluppo spirituale e dell'irraggiamento internazionale di KSN.","Una dirección comprometida al servicio del Salaatu, el desarrollo espiritual y la difusión internacional de KSN.","قيادة ملتزمة في خدمة الصلاة، التنمية الروحية والإشعاع الدولي لـ KSN."
"section.organisation_ksn","Organisation KSN","Yax KSN","KSN Organization","Organizzazione KSN","Organización KSN","تنظيم KSN"
"section.commissions_title","Commissions Officielles","Kër yi Officielles","Official Commissions","Commissioni Ufficiali","Comisiones Oficiales","اللجان الرسمية"
"section.media_ksn","Média KSN","Media KSN","KSN Media","Media KSN","Medios KSN","إعلام KSN"
"section.media_title","Activités du Dahira & Vie Communautaire","Liggéey Dahira & Dundu Mbokk","Dahira Activities & Community Life","Attività del Dahira & Vita Comunitaria","Actividades del Dahira y Vida Comunitaria","أنشطة الدائرة والحياة المجتمعية"
"section.communaute_digitale","Communauté Digitale","Mbokk Numerik","Digital Community","Comunità Digitale","Comunidad Digital","المجتمع الرقمي"
"section.suivez_partout","Suivez KSN Partout","Toopal KSN ci kepp","Follow KSN Everywhere","Segui KSN Ovunque","Sigue a KSN en todas partes","تابع KSN في كل مكان"
"section.contact_officiel","Contact Officiel","Jokk Officielle","Official Contact","Contatto Ufficiale","Contacto Oficial","اتصال رسمي"
"section.contact_title","Entrer en Contact","Jokkalal ak nu","Get in Touch","Mettiti in Contatto","Ponte en Contacto","تواصل معنا"
"section.spiritualite_ksn","Spiritualité KSN","Diiney KSN","KSN Spirituality","Spiritualità KSN","Espiritualidad KSN","روحانية KSN"
"section.spiritualite_title","Nourrir le Cœur par le Salaatu ﷺ","Sëf Xol bi ci Salaatu ﷺ","Nourish the Heart through Salaatu ﷺ","Nutrire il Cuore con il Salaatu ﷺ","Nutrir el Corazón con el Salaatu ﷺ","غذاء القلب بالصلاة على النبي ﷺ"
"footer.navigation","Navigation","Doxalin","Navigation","Navigazione","Navegación","التنقل"
"footer.contact","Contact","Jokk","Contact","Contatti","Contacto","اتصل بنا"
"footer.suivez","Suivez-nous","Toopal nu","Follow Us","Seguici","Síguenos","تابعنا"
"footer.mission_title","Mission Spirituelle","Misiyon Diiney","Spiritual Mission","Missione Spirituale","Misión Espiritual","المهمة الروحية"
"footer.mission_quote","Œuvrer pour la promotion de la Prière sur le Prophète Muhammad ﷺ à travers une communauté spirituelle moderne, engagée et internationale.","Liggéey ngir tëralu Salaatu ci Yonent bi Muhammad ﷺ jaarale ko ci mbokk mu mag, jëfandikoo te ci àdduna bi.","Working to promote prayers upon the Prophet Muhammad ﷺ through a modern, engaged, and international spiritual community.","Lavorare per promuovere la preghiera sul Profeta Muhammad ﷺ attraverso una comunità spirituale moderna, impegnata e internazionale.","Trabajar para promover el rezo sobre el Profeta Muhammad ﷺ a través de una comunidad espiritual moderna, comprometida e internacional.","العمل على تعزيز الصلاة على النبي محمد ﷺ من خلال مجتمع روحاني حديث، ملتزم ودولي."
"footer.copyright","Tous droits réservés.","Yoonu yi nepp ñu am.","All rights reserved.","Tutti i diritti riservati.","Todos los derechos reservados.","جميع الحقوق محفوظة."
"salaatu.overline","Salaatou du Jour","Salaatou bu Tey","Salaatu of the Day","Salaatu del Giorno","Salaatu del Día","صلاة اليوم"
"salaatu.title","Le Salaatu Recommandé","Salaatu bu ñu Digal","Recommended Salaatu","Il Salaatu Consigliato","El Salaatu Recomendado","الصلاة الموصى بها"
"salaatu.benefits","Bienfaits","Njariñ yi","Benefits","Benefici","Beneficios","الفوائد"
"salaatu.benefits_text","Lumière dans le cœur, proximité du Prophète ﷺ et bénédictions divines.","Leer ci xol, jegeñentee ak Yonent bi ﷺ, ak barke Yàlla.","Light in the heart, closeness to the Prophet ﷺ, and divine blessings.","Luce nel cuore, vicinanza al Profeta ﷺ e benedizioni divine.","Luz en el corazón, cercanía al Profeta ﷺ y bendiciones divinas.","نور في القلب، قرب من النبي ﷺ، وبركات إلهية."
"salaatu.when","Quand le réciter","Kañ lañ koy waxe","When to recite","Quando recitarlo","Cuándo recitarlo","متى تقرأ"
"salaatu.when_text","À tout moment, particulièrement après les prières et le vendredi.","Ci kepp, rawatina ginnaaw julli ak Aljuma.","Any time, especially after prayers and on Fridays.","In qualsiasi momento, specialmente dopo le preghiere e il venerdì.","En cualquier momento, especialmente después de las oraciones y los viernes.","في أي وقت، خاصة بعد الصلوات ويوم الجمعة."
"salaatu.reward","Récompense","Yool","Reward","Ricompensa","Recompensa","المكافأة"
